1,22.15,26.75
1,22.15,29.8
1,21.1,31.55
1,20.85,27.7
1,19.95,29.9
1,19.05,26.8
1,18.25,28.35
1,17.85,30.4
1,16.7,27.25
1,16,29.05
1,14.85,27.15
1,13.95,28.2
1,13.85,30.35
1,11.95,27.25
1,12.05,29.45
1,12.2,31.55
1,10.65,33.05
1,9.85,29.95
1,9.75,28
1,7.85,27.15
1,8.1,29.15
1,8.6,31.95
1,8.55,34.7
1,12.25,34.8
1,15.25,36.3
1,13.2,36.6
1,14.25,38.7
1,15.5,40.3
1,14.25,42.25
1,12.8,40.7
1,12.1,38.6
1,10.5,36.1
1,10.4,38.35
1,8.4,37.65
1,8.55,40.15
1,10.65,40.8
1,11.25,42.9
1,8.5,41.95
1,17.45,42.45
1,18.45,40.25
1,19.45,42.55
1,20.65,40.95
1,22.15,42.25
1,22.4,38.85
1,20,38.4
1,20.2,35.25
1,21,33.25
1,22.35,34.15
1,22.5,35.55
1,21.4,36.55
2,19.6,33.35
2,19.55,32.85
2,19.15,32.4
2,18.7,32.45
2,18.9,32.8
2,19.2,33.2
2,19.05,33.7
2,18.75,33.4
2,18.5,33.05
2,18.2,32.8
2,18.7,34
2,18.25,33.85
2,18.15,33.35
2,17.7,32.8
2,17.55,33.15
2,17.75,33.75
2,17.85,34.15
2,18.35,34.35
2,18.5,34.95
2,18.05,34.75
2,18.05,35.15
2,18.15,35.65
2,18.7,35.45
2,18.75,36.05
2,18.2,36.25
2,18.7,36.6
2,18.5,37.1
2,18.1,36.75
2,18.3,37.65
2,17.85,37.15
2,17.75,37.65
2,18.1,38.05
2,17.7,38.45
2,17.3,38.8
2,17.25,38.2
2,16.8,38.6
2,16.35,38.25
2,16.85,37.9
2,17.3,37.5
2,16.4,37.65
2,16.7,37.15
2,17.15,37
2,17.4,36.6
2,17.55,36.15
2,17.65,35.75
2,16.9,36.6
2,16.95,36.05
2,17,35.45
2,17.55,35.3
2,17,34.9
2,17.45,34.75
2,17.35,34.3
2,16.8,34.3
2,17.2,33.9
2,17.05,33.35
